what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206450275
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371206456147
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206461543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206466670
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371206474278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206482030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206488854
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206490515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206501907
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371206511959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206514176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206514380
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371206515479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206519086
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206519305
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371206520409
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206525554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206527671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206569642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206571598
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371206580924
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371206586963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206592589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206604836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371206629522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206634222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206637725
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371206645271
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371206658102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206661417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206663179
