what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816473862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816475848
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371816476459
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371816479490
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1371816482830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816484324
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816493388
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1371816493548
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816502378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816504235
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371816507936
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1371816510254
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1371816515290
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371816547972
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816551226
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816595600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816613314
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816617028
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816621869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816629844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816631249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816632449
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371816642450
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1371816645189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816646277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816651700
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371816651740
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1371816671942
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371816701042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816705269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816722400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816748780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816749729
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371816765017
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1371816782403
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371816795328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1371816802268
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371816808922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371816832746
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371816837018
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371816840976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816841618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816843226
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371816844380
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371816846500
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1371816849665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816850762
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816862093
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1371816862208
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371816891998
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1371816922824
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371816928623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816972833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816982156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816992021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371817023474
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1371817044227
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371817049329
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371817053477
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1371817062390
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1371817064223
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1371817066107
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1371817068047
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371817070587
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371817077238
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371817100481
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371817111854
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371817119464
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371817123754
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371817127561
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371817147867
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1371817150240
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371817156509
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371817162430
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1371817164819
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371817166846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371817176206
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1371817176316
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371817179032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371817201117
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371817207591
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1371817209254
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371817218211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371817249303
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371817278769
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1371817280587
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371817289221
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1371817291061
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371817293172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371817334860
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1371817335002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371817335037
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371817354798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371817365024
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1371817365146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371817365181
