what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124548097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124548780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124557447
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371124561897
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371124577089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124582341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124591978
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371124598305
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371124604560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124617419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124617623
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1371124627336
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124648156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124648389
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1371124657788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124660600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124681279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124689038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124689196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124698373
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124698633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371124710078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124713992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124715872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124716366
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124719796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371124734010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124763929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124770771
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124774844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124775764
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371124805599
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124808539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124809540
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371124812973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124814046
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1371124816141
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1371124816142
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124816171
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1371124820956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124822782
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124841185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124842568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124846308
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371124847431
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1371124849091
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371124849141
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371124857048
activated,view,org.eclipse.mylyn.tasks.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1371124859501
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1371124867540
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1371124872177
activated,view,org.eclipse.mylyn.tasks.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1371124872187
closed,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1371124872209
started,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.tasks.ui",1371124872295
started,bundle,org.eclipse.dltk.mylyn,3.0.0.v20101211-0331,"org.eclipse.dltk.mylyn",1371124872345
started,bundle,org.eclipse.mylyn.ide.ant,3.8.3.v20130107-0100,"org.eclipse.mylyn.ide.ant",1371124872381
started,bundle,org.eclipse.mylyn.resources.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.resources.ui",1371124872406
started,bundle,org.eclipse.mylyn.wikitext.core,1.5.1.v20110720-0100,"org.eclipse.mylyn.wikitext.core",1371124872451
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371124875946
closed,view,org.eclipse.mylyn.tasks.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1371124875953
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavadocView",1371124878487
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavadocView",1371124878511
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.SourceView",1371124879246
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.SourceView",1371124879260
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavadocView",1371124880362
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371124882534
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371124885785
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1371124892878
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371124894613
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavadocView",1371124896464
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371124898514
closed,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavadocView",1371124898523
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.SourceView",1371124899750
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371124899773
closed,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.SourceView",1371124899782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371124923943
