what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371131674163
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371131680547
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371131680563
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1371131680569
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371131696507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371131708775
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.copy.qualified.name",1371131710184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371131710210
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1371131712474
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371131713510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371131751589
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371131761230
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371131763302
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1371131765286
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1371131767101
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371131769577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371131785866
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371131790199
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1371131794235
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1371131797962
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371131799079
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371131800731
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1371131802762
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1371131804434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371131806522
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371131821778
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371131825248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371131849667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371131935336
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1371131941148
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371131959251
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371131961331
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1371131962880
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1371131964059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371131967521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371131979495
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371131986208
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371131994510
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1371132006563
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1371132007826
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1371132009863
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1371132012847
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371132014009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371132017581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371132017710
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371132019273
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371132020365
