what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1371822492279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1371822498842
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371822499811
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1371822500696
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1371822501476
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371822504031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371822509340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371822516091
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371822524294
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1371822532639
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371822540792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371822565033
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371822579271
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371822581301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371822584990
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371822588598
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371822588757
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371822588796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371822589669
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371822595270
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1371822598580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371822601502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371822601658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371822605116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371822605234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371822608375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371822608498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371822612016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371822612138
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371822616022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371822620650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371822627598
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371822630984
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371822632929
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371822634350
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371822641825
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371822643747
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371822655141
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371822657681
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371822659090
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371822659091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371822673909
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371822677869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371822677886
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371822680430
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371822680430
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1371822684706
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371822685476
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1371822694254
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371822698277
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1371822703182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371822705780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371822719212
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371822722854
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371822728803
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1371822734891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371822739888
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371822744513
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1371822744624
