what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371191888949
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371191900287
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371191903307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371191908171
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1371191909853
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1371191909854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371191909871
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1371191913701
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1371191920900
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1371191925186
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1371191929380
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371191930344
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371191932358
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1371191933886
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1371191935044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371191941865
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371191943278
started,bundle,com.android.ide.eclipse.ndk,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ndk",1371191949294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371191952292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371191959852
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371191964380
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371191965361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371191968794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371192017206
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371192020538
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1371192051726
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1371192057468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371192070846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371192073902
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371192074078
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1371192076154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371192078370
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371192097235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371192102150
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371192137133
